City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
81,hilo,19.7297,-155.09,83.28,78,82,4.0,broken clouds,US
82,new norfolk,-42.7826,147.0587,49.66,52,35,3.0,scattered clouds,AU
83,hobart,-42.8794,147.3294,50.02,55,40,1.01,scattered clouds,AU
84,dukat,62.55,155.55,50.56,44,94,6.38,overcast clouds,RU
85,bethel,41.3712,-73.414,68.85,92,100,3.67,moderate rain,US
86,opuwo,-18.0607,13.84,53.33,29,0,8.63,clear sky,NA
87,prince rupert,54.3161,-130.3201,53.35,75,100,7.74,light rain,CA
88,kavaratti,10.5669,72.642,84.13,76,97,17.31,overcast clouds,IN
89,mar del plata,-38.0023,-57.5575,60.01,1,100,15.99,overcast clouds,AR
90,anbu,23.449,116.6809,87.01,68,100,5.06,overcast clouds,CN
91,tongliao,43.6125,122.2653,70.2,35,6,12.84,clear sky,CN
92,port elizabeth,-33.918,25.5701,44.89,87,0,1.14,clear sky,ZA
93,karasjok,69.4719,25.5112,62.71,56,25,1.16,scattered clouds,NO
94,pemberton,50.3164,-122.8027,74.64,48,65,6.33,broken clouds,CA
95,saskylakh,71.9167,114.0833,34.63,97,100,8.03,light rain,RU
96,barrow,71.2906,-156.7887,33.82,80,90,18.41,overcast clouds,US
97,udachnyy,66.4167,112.4,59.54,43,100,16.75,overcast clouds,RU
98,seydi,39.4816,62.9137,90.55,15,0,12.01,clear sky,TM
99,busselton,-33.65,115.3333,63.86,71,75,11.52,broken clouds,AU
100,ahipara,-35.1667,173.1667,61.97,56,21,4.16,few clouds,NZ
101,yashan,22.1975,109.9419,77.86,86,100,9.06,light rain,CN
102,victoria,22.2855,114.1577,85.32,93,99,2.21,light rain,HK
103,severo-kurilsk,50.6789,156.125,47.1,72,55,6.62,broken clouds,RU
104,virginia beach,36.8529,-75.978,72.01,95,100,1.01,moderate rain,US
105,saint-philippe,-21.3585,55.7679,71.15,81,44,13.6,light rain,RE
106,lata,40.1629,-8.3327,54.05,95,8,2.1,clear sky,PT
107,asosa,10.0667,34.5333,63.1,84,96,3.6,light rain,ET
108,tucumcari,35.1717,-103.725,76.95,34,15,8.95,few clouds,US
109,manado,1.487,124.8455,92.17,55,20,2.06,few clouds,ID
110,mahebourg,-20.4081,57.7,73.69,78,75,10.36,broken clouds,MU
